day,stop,method,name,type,arrive,start_visit,end_visit,feasible,dist_km,rating,attraction_score,address,video_url
1,1,SA_Phase1,3 tiệm cà phê viral ở Đà Lạt,cafe,07:00,07:30,08:30,True,0.0,4.5,0.3182,"116 Đ. Hùng Vương, Xuân Trường - Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@nhandian/video/7635214351682522388 | https://www.tiktok.com/@chagiotomthitsieungon/video/7598760559059750165
1,2,SA_Phase1,Quán Nguyễn Gia,cafe,08:41,08:41,09:41,True,5.864863909545665,4.1,0.3043,"33 Ngô Quyền, Cam Ly - Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@quanngondalat/video/7417303437462768904
1,3,SA_Phase1,Lạc Hư Cổ Trấn,địa điểm checkin,09:53,09:53,10:23,True,6.099061801532208,4.1,0.4106,"Đường Lâm Văn Thạnh, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@tiktokgapgiquaydo/video/7607409661502967058
1,4,SA_Phase1,Thác mây,địa điểm checkin,10:28,10:28,10:58,True,2.4769253392083312,4.8,0.3966,"Dốc số 9, Trại Mát, Xuân Trường - Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@thacmay/video/7550279164360690962
1,5,SA_Phase1,Làng Cù Lần,địa điểm checkin,11:35,11:35,12:05,True,18.415944040477974,4.6,0.4251,"ĐT722, Lang Biang - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@bacxiuneee_/video/7605564991403560213
1,6,SA_Phase1,Langbiang,địa điểm checkin,12:18,12:18,12:48,True,6.279181261757845,0.0,0.5327,"Langbiang, tt. Lạc Dương, Tp. Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@langbiangland/video/7528369502120185095
1,7,SA_Phase1,1/2 Circle Coffee,cafe,13:08,13:08,14:08,True,10.31595333046405,4.5,0.311,"Hẻm 4 Đường Đặng Thái Thân, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@duocroidithoi.sg/video/7387617478555258120
1,8,SA_Phase1,Bánh canh cua Luxury,chợ quán,14:14,14:14,14:54,True,3.0209615545572706,4.4,0.3156,"Lô 1A Khu Quy Hoạch Hoàng Văn Thụ, Xuân Hương - Đà Lạt, Lâm Đồng 66115, Việt Nam",https://www.tiktok.com/@kuti20297/video/7463821415771278610
1,9,SA_Phase1,restaurant, nhà hàng,14:56,14:56,15:56,True,0.9447022872378317,4.7,0.3113,"38 Đường Tăng Bạt Hổ, Xuân Hương - Đà Lạt, Lâm Đồng 66100, Việt Nam",https://www.tiktok.com/@goldiegallowaytravels/video/7332136850510859553
1,10,SA_Phase1,Primavera Italian Restaurant,cafe,15:57,15:57,16:57,True,0.08605588499896868,4.3,0.3033,"54/7 Phan Đình Phùng, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@avokliv/video/7617686854049058070
1,11,SA_Phase1,Tiệm Cơm Gia Đình Ngon,chợ quán,16:59,16:59,17:34,False,1.315996018553409,4.0,0.3109,"70b Đ. Bùi Thị Xuân, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@du_lich_dalat/video/7325313221819108610
1,12,SA_Phase1,Dưới tán anh đào,cafe,17:09,17:09,18:09,True,5.043779772943476,4.5,0.3174,"29B Đ. Hùng Vương, Xuân Trường - Đà Lạt, Lâm Đồng 66118, Việt Nam",https://www.tiktok.com/@duoitananhdao/video/7639696857463131400
1,13,SA_Phase1,Maze Bar,cafe,18:19,18:19,19:19,True,5.1342004968448025,4.6,0.5127,"57 Phan Bội Châu, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@koinamang/video/7473110759875153159
1,14,SA_Phase1,Làng Khét Đà Lạt,địa điểm checkin,19:31,19:31,20:01,True,5.948507663442098,4.5,0.3513,"27 Huỳnh Tấn Phát, Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@tiemnuonglangkhet/video/7621847267602894098
2,1,SA_Phase1,Fairytale Land,địa điểm checkin,07:00,07:30,08:00,True,0.0,4.3,0.7107,"Vạn Thành, Làng Hoa, Cam Ly - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@dalat_fairytale_land/video/7497465065642183943
2,2,SA_Phase1,Quán cà phê tone đen,cafe,08:10,08:10,09:10,True,5.375742317089986,4.6,0.3426,"15A Trần Hưng Đạo, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@chillwithvyuyennn/video/7324239184787541256
2,3,SA_Phase1,Hoa Cẩm Tú Cầu,cafe,09:24,09:24,10:24,True,6.792119292399403,4.3,0.3038,"Đường Tập Đoàn 7, Trại Mát, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@ama.vietnam.blog/video/7613373066021735687
2,4,SA_Phase1,Hidden Land Dalat,địa điểm checkin,10:31,10:31,11:01,True,3.5891644848264996,4.7,0.4179,"Đường Lâm Văn Thạnh, Xuân Trường - Đà Lạt, Lâm Đồng 67000, Việt Nam",https://www.tiktok.com/@hiddenland.dalat/video/7580344517484662024 | https://www.tiktok.com/@alvinodalat/video/7604836931930705160
